2024-05-28 14:55:08.421 INFO  (qtp693267461-19-null-10) [c: s: r: x:jobs t:null-10] o.a.s.c.S.Request webapp=/solr path=/admin/luke params={numTerms=0&show=index&wt=json&_=1716908105945} status=0 QTime=6
2024-05-28 14:55:08.421 INFO  (qtp693267461-25-null-13) [c: s: r: x: t:null-13] o.a.s.s.HttpSolrCall [admin] webapp=null path=/admin/info/system params={wt=json&_=1716908101648} status=0 QTime=6
2024-05-28 14:55:08.422 INFO  (qtp693267461-23-null-12) [c: s: r: x:jobs t:null-12] o.a.s.c.S.Request webapp=/solr path=/admin/system params={wt=json&_=1716908105945} status=0 QTime=7
2024-05-28 14:55:08.437 INFO  (qtp693267461-26-null-11) [c: s: r: x:jobs t:null-11] o.a.s.c.S.Request webapp=/solr path=/replication params={wt=json&command=details&_=1716908105945} status=0 QTime=21
2024-05-28 14:55:08.438 INFO  (qtp693267461-21-null-14) [c: s: r: x:jobs t:null-14] o.a.s.c.S.Request webapp=/solr path=/admin/ping params={action=status&wt=json&_=1716908101648&ts=1716908101648} status=503 QTime=3
2024-05-28 14:55:09.086 INFO  (qtp693267461-20-null-15) [c: s: r: x:mycore t:null-15] o.a.s.c.S.Request webapp=/solr path=/admin/ping params={action=status&wt=json&_=1716908101648&ts=1716908101648} status=503 QTime=0
2024-05-28 14:55:10.102 INFO  (qtp693267461-23-null-16) [c: s: r: x:mycore t:null-16] o.a.s.c.S.Request webapp=/solr path=/admin/system params={wt=json&_=1716908105945} status=0 QTime=7
2024-05-28 16:09:58.135 INFO  (JettyShutdownThread) [c: s: r: x: t:] o.e.j.s.Server Stopped Server@376a312c{STOPPING}[10.0.20,sto=0]
2024-05-28 16:09:58.162 INFO  (JettyShutdownThread) [c: s: r: x: t:] o.e.j.s.AbstractConnector Stopped ServerConnector@2b95e48b{HTTP/1.1, (http/1.1, h2c)}{0.0.0.0:8983}
2024-05-28 16:09:58.291 INFO  (JettyShutdownThread) [c: s: r: x: t:] o.a.s.c.CoreContainer Shutting down CoreContainer instance=779051277
2024-05-28 16:09:58.309 INFO  (coreCloseExecutor-25-thread-1) [c: s: r: x:mycore t:] o.a.s.c.SolrCore CLOSING SolrCore org.apache.solr.core.SolrCore@374281e1 mycore
2024-05-28 16:09:58.309 INFO  (coreCloseExecutor-25-thread-2) [c: s: r: x:jobs t:] o.a.s.c.SolrCore CLOSING SolrCore org.apache.solr.core.SolrCore@1197392b jobs
2024-05-28 16:09:58.314 INFO  (coreCloseExecutor-25-thread-1) [c: s: r: x:mycore t:] o.a.s.m.SolrMetricManager Closing metric reporters for registry=solr.core.mycore tag=SolrCore@374281e1
2024-05-28 16:09:58.395 INFO  (coreCloseExecutor-25-thread-2) [c: s: r: x:jobs t:] o.a.s.m.SolrMetricManager Closing metric reporters for registry=solr.core.jobs tag=SolrCore@1197392b
2024-05-28 16:09:58.415 INFO  (coreCloseExecutor-25-thread-1) [c: s: r: x:mycore t:] o.a.s.u.DirectUpdateHandler2 Committing on IndexWriter.close()  ... SKIPPED (unnecessary).
2024-05-28 16:09:58.463 INFO  (coreCloseExecutor-25-thread-2) [c: s: r: x:jobs t:] o.a.s.u.DirectUpdateHandler2 Committing on IndexWriter.close()  ... SKIPPED (unnecessary).
2024-05-28 16:09:58.476 INFO  (JettyShutdownThread) [c: s: r: x: t:] o.a.s.m.SolrMetricManager Closing metric reporters for registry=solr.node tag=null
2024-05-28 16:09:58.494 INFO  (JettyShutdownThread) [c: s: r: x: t:] o.a.s.m.SolrMetricManager Closing metric reporters for registry=solr.jvm tag=null
2024-05-28 16:09:58.510 INFO  (JettyShutdownThread) [c: s: r: x: t:] o.a.s.m.SolrMetricManager Closing metric reporters for registry=solr.jetty tag=null
2024-05-28 16:09:58.547 INFO  (JettyShutdownThread) [c: s: r: x: t:] o.e.j.s.h.ContextHandler Stopped o.e.j.w.WebAppContext@655a5d9c{solr-jetty-context.xml,/solr,null,STOPPED}{/opt/solr-9.6.0/server/solr-webapp/webapp}
